Station_ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Ozone,2012-02-19,23,19,16,14,10,15,19,17,20,23,23,26,29,29,31,31,31,30,31,30,28,29,26,22
31103,Ozone,2012-02-20,22,16,23,17,10,4,2,3,6,14,25,34,35,32,33,33,35,34,33,31,24,26,30,24
31103,Ozone,2012-02-21,27,26,24,25,22,20,16,8,15,20,16,14,14,25,28,27,30,28,28,25,21,23,22,24
31103,Ozone,2012-02-22,22,20,24,22,16,15,16,12,13,15,19,23,29,30,31,28,28,24,23,22,24,23,21,17
31103,Ozone,2012-02-23,23,25,20,15,8,8,4,4,6,8,14,23,22,22,26,29,25,24,22,19,8,3,2,3
31103,Ozone,2012-02-24,10,8,12,25,26,27,29,28,30,29,28,28,26,22,20,17,15,15,23,28,27,25,26,27
31103,Ozone,2012-02-25,27,22,24,26,27,28,30,30,37,37,36,35,36,39,39,40,39,38,38,37,35,34,32,32
31103,Ozone,2012-02-26,33,31,29,26,26,24,19,15,19,19,26,31,32,33,34,34,34,33,32,32,31,32,31,31
31103,Ozone,2012-02-27,25,23,22,21,21,18,19,19,13,13,22,25,28,31,35,33,29,27,27,25,25,32,37,36
31103,Ozone,2012-02-28,35,35,36,34,30,30,28,24,20,22,30,30,29,29,31,32,28,25,25,27,27,25,26,25
31103,Ozone,2012-02-29,26,25,25,26,26,28,29,28,28,30,33,34,32,31,28,26,24,23,24,25,27,28,29,28
31103,Ozone,2012-03-01,27,25,26,27,26,24,15,6,8,5,12,19,21,23,20,19,16,18,23,25,24,24,26,25
31103,Ozone,2012-03-02,23,21,24,20,26,24,12,13,15,13,12,13,14,20,18,16,19,19,20,21,22,22,20,20
31103,Ozone,2012-03-03,17,25,25,21,25,29,30,30,31,33,33,34,34,34,32,32,32,33,32,32,31,31,30,26
31103,Ozone,2012-03-04,31,26,31,30,32,32,32,31,30,32,32,32,32,32,31,30,29,26,25,24,27,26,25,26
31103,Ozone,2012-03-05,26,24,24,25,24,22,19,17,19,23,29,32,32,32,35,37,38,34,33,30,30,28,19,15
31103,Ozone,2012-03-06,16,15,10,15,9,7,3,10,23,29,30,31,36,35,32,29,27,29,26,25,21,20,17,11
31103,Ozone,2012-03-07,14,18,27,27,25,25,24,21,22,26,33,41,43,47,51,52,50,50,49,50,48,46,45,43
31103,Ozone,2012-03-08,44,40,41,42,42,42,40,36,34,33,32,32,29,29,30,29,24,26,29,30,33,33,35,33
31103,Ozone,2012-03-09,33,28,29,27,22,27,26,22,23,24,26,33,35,34,34,34,32,33,33,33,33,34,33,34
31103,Ozone,2012-03-10,34,34,33,34,31,30,29,28,30,27,23,31,34,37,37,39,40,39,37,37,36,31,30,30
31103,Ozone,2012-03-11,29,27,-999,-999,23,24,20,21,21,23,28,30,35,39,43,44,44,44,40,40,33,32,29,28
31103,Ozone,2012-03-12,23,8,32,36,33,28,23,7,4,5,11,24,24,26,26,16,19,22,26,23,20,19,21,24
31103,Ozone,2012-03-13,29,24,25,25,18,20,10,14,14,18,22,27,32,36,41,42,45,45,44,39,32,30,25,20
31103,Ozone,2012-03-14,13,17,23,19,18,6,4,5,10,15,20,28,32,35,42,40,42,43,38,30,15,30,36,37
31103,Ozone,2012-03-15,37,38,40,37,37,36,30,27,31,31,29,28,30,16,20,16,11,18,26,29,32,37,29,25
31103,Ozone,2012-03-16,25,19,21,18,11,2,3,4,4,5,11,31,17,16,26,30,32,28,21,27,10,21,28,30
31103,Ozone,2012-03-17,35,31,35,27,24,20,20,21,23,24,23,22,22,24,25,25,23,20,18,19,21,19,20,21
31103,Ozone,2012-03-18,21,22,11,12,8,4,6,9,13,12,17,25,26,28,29,33,38,38,35,36,26,9,7,4
31103,Ozone,2012-03-19,2,0,2,2,2,2,3,3,4,6,10,13,22,23,17,17,22,18,30,36,35,34,31,32
31103,Ozone,2012-03-20,20,3,4,16,22,19,11,5,9,12,11,17,27,24,26,32,36,45,38,33,34,35,37,40
31103,Ozone,2012-03-21,34,21,23,16,5,5,4,4,6,9,16,27,32,28,24,22,31,26,31,42,34,33,18,24
31103,Ozone,2012-03-22,12,0,2,1,2,2,11,16,12,19,24,22,23,27,24,23,32,35,39,29,14,30,18,12
31103,Ozone,2012-03-23,27,37,39,34,31,26,27,24,31,29,29,32,35,36,36,38,39,37,37,36,35,40,35,38
31103,Ozone,2012-03-24,38,34,36,36,36,35,33,34,34,34,34,33,34,34,34,36,35,33,32,32,33,29,29,25
31103,Ozone,2012-03-25,26,23,25,24,21,22,23,19,17,11,14,19,21,24,33,37,41,39,36,35,36,34,31,28
31103,Ozone,2012-03-26,23,20,25,29,31,33,35,35,37,36,36,37,38,37,37,36,35,35,35,34,32,27,20,27
31103,Ozone,2012-03-27,31,30,30,29,28,27,19,20,26,29,31,37,40,39,38,35,33,36,35,35,36,35,32,29
31103,Ozone,2012-03-28,34,28,31,22,12,7,10,17,19,31,37,39,39,34,28,26,23,25,23,23,28,26,23,24
31103,Ozone,2012-03-29,25,22,25,25,26,22,21,22,23,27,28,31,34,35,36,35,35,35,34,34,34,33,30,23
31103,Ozone,2012-03-30,18,11,14,21,20,12,5,8,30,34,29,30,37,37,38,38,36,36,37,37,39,38,39,40
31103,Ozone,2012-03-31,36,32,34,36,32,30,28,27,25,28,31,35,36,36,40,41,43,44,42,41,41,41,39,35
31103,Ozone,2012-04-01,28,15,6,7,12,20,32,23,27,33,30,30,30,31,30,30,25,21,21,26,31,25,24,27
31103,Ozone,2012-04-02,28,25,26,25,24,19,14,16,21,29,36,40,45,44,44,44,44,44,40,35,32,30,29,29
31103,Ozone,2012-04-03,34,32,28,25,23,22,9,11,14,22,25,32,37,35,30,28,17,39,28,11,14,10,30,16
31103,Ozone,2012-04-04,5,28,34,32,31,19,9,8,12,27,32,34,34,35,34,32,32,32,29,25,25,23,21,21
31103,Ozone,2012-04-05,22,22,26,23,25,23,23,28,33,35,38,40,42,44,44,43,43,42,39,36,35,34,35,34
31103,Ozone,2012-04-06,30,25,29,31,33,32,30,34,37,38,41,44,47,46,46,46,46,45,43,40,40,38,36,39
31103,Ozone,2012-04-07,36,29,33,31,34,32,27,29,35,43,46,49,50,51,52,52,51,50,48,45,44,41,38,32
31103,Ozone,2012-04-08,33,20,32,33,32,30,21,24,24,32,42,47,48,39,48,42,43,45,44,42,41,40,40,39
31103,Ozone,2012-04-09,40,38,39,37,35,32,28,29,33,35,38,42,45,45,47,48,47,46,45,44,42,37,37,39
31103,Ozone,2012-04-10,39,36,35,34,30,22,22,27,31,32,32,33,33,27,26,25,23,25,22,22,24,20,19,18
31103,Ozone,2012-04-11,17,19,21,19,19,23,24,23,26,25,28,29,33,30,32,33,33,33,32,31,30,29,29,29
31103,Ozone,2012-04-12,28,25,23,16,15,10,6,11,23,30,33,36,31,32,33,36,38,34,33,30,27,28,22,25
31103,Ozone,2012-04-13,28,26,30,25,20,16,16,16,21,29,18,23,34,35,36,38,39,40,41,38,24,18,19,5
31103,Ozone,2012-04-14,4,8,9,6,3,2,8,29,22,20,29,26,34,37,40,50,50,48,46,46,42,39,33,33
31103,Ozone,2012-04-15,32,29,30,27,26,28,29,28,29,26,27,29,28,34,37,39,33,32,13,18,15,30,37,34
31103,Ozone,2012-04-16,28,20,33,42,39,37,31,29,33,39,45,47,47,47,48,42,39,45,44,45,39,31,26,24
31103,Ozone,2012-04-17,27,28,31,29,28,24,21,21,25,26,29,31,33,36,38,40,42,42,38,32,31,33,29,29
31103,Ozone,2012-04-18,29,25,25,23,15,10,8,17,25,27,29,30,33,34,35,33,36,36,34,34,34,33,32,31
31103,Ozone,2012-04-19,28,21,23,24,16,10,7,18,24,19,20,32,39,36,41,49,52,55,41,35,35,33,34,32
31103,Ozone,2012-04-20,30,30,28,27,26,20,22,25,30,33,34,39,43,42,41,39,42,31,18,27,41,37,22,19
31103,Ozone,2012-04-21,21,19,21,21,23,25,23,20,21,25,25,27,29,30,29,30,32,34,30,26,25,28,29,29
31103,Ozone,2012-04-22,32,29,35,37,36,32,33,33,34,33,33,36,37,38,38,36,35,34,33,30,29,23,27,38
31103,Ozone,2012-04-23,39,37,39,40,40,39,35,31,33,32,34,33,32,32,34,32,34,34,34,35,36,37,37,39
31103,Ozone,2012-04-24,39,36,38,39,37,34,32,32,35,39,40,40,42,41,43,41,43,44,44,44,42,40,45,41
31103,Ozone,2012-04-25,41,42,39,38,36,27,27,28,32,41,48,48,46,47,47,46,41,42,41,38,31,26,25,20
31103,Ozone,2012-04-26,22,21,24,26,29,27,19,23,27,30,25,21,17,12,11,33,43,42,41,35,30,32,33,33
31103,Ozone,2012-04-27,31,29,31,30,28,25,25,29,30,34,37,39,39,40,42,44,44,43,44,43,40,35,30,29
31103,Ozone,2012-04-28,32,30,32,35,24,6,9,25,37,39,35,35,39,40,45,44,44,44,37,38,51,47,41,36
31103,Ozone,2012-04-29,38,33,31,25,12,10,20,38,46,45,48,51,55,58,57,57,54,51,47,43,38,39,39,38
31103,Ozone,2012-04-30,37,34,26,25,28,30,30,32,34,35,32,33,34,40,39,41,43,44,41,44,44,41,40,35
31103,Ozone,2012-05-01,31,17,18,18,15,18,16,10,18,26,14,13,19,21,23,26,27,39,39,32,26,3,3,2
31103,Ozone,2012-05-02,2,0,1,3,15,19,15,23,32,38,42,45,47,47,45,44,42,39,29,20,18,17,6,2
31103,Ozone,2012-05-03,2,0,7,12,16,26,12,8,17,30,27,25,28,42,42,47,47,47,43,32,18,15,10,37
31103,Ozone,2012-05-04,42,33,32,20,16,7,12,10,13,37,47,47,46,47,43,46,46,46,43,36,30,25,22,22
31103,Ozone,2012-05-05,22,21,25,25,25,25,24,29,30,31,32,32,34,34,33,34,34,35,34,32,28,14,15,4
31103,Ozone,2012-05-06,2,0,3,11,18,18,28,30,39,44,43,48,49,48,49,50,48,46,48,39,43,40,39,39
31103,Ozone,2012-05-07,38,43,48,50,48,45,43,41,41,43,45,45,43,42,43,46,46,38,29,20,19,21,18,15
31103,Ozone,2012-05-08,10,0,1,1,3,4,2,3,4,15,18,27,26,32,30,27,31,34,31,33,31,20,24,30
31103,Ozone,2012-05-09,30,15,10,16,21,13,11,23,36,35,32,42,43,41,37,35,39,35,34,29,26,27,29,30
31103,Ozone,2012-05-10,32,30,34,33,30,25,25,29,30,34,36,38,39,39,40,44,43,43,44,40,36,33,32,32
31103,Ozone,2012-05-11,30,28,29,29,28,22,18,20,29,35,39,41,38,38,40,40,42,46,44,39,36,30,12,3
31103,Ozone,2012-05-12,3,3,13,4,7,18,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,45
31103,Ozone,2012-05-13,41,36,46,45,36,31,29,27,30,26,31,42,50,56,54,48,48,47,46,49,47,49,43,43
31103,Ozone,2012-05-14,40,26,27,16,6,5,6,18,36,38,46,55,58,57,54,52,53,56,53,47,44,39,34,27
31103,Ozone,2012-05-15,25,15,5,4,2,3,5,7,10,19,26,37,43,52,58,55,58,67,66,64,63,59,58,57
31103,Ozone,2012-05-16,58,47,45,53,50,45,38,38,34,21,27,31,32,33,31,32,33,33,33,35,33,27,23,28
31103,Ozone,2012-05-17,26,22,23,18,17,13,14,17,26,30,25,31,34,35,36,38,38,35,33,34,25,27,33,26
31103,Ozone,2012-05-18,22,10,13,5,15,17,13,14,27,36,37,41,40,43,46,43,41,44,41,42,40,37,39,37
31103,Ozone,2012-05-19,35,22,20,27,35,36,40,34,32,35,36,41,48,67,70,62,63,63,69,54,59,62,61,60
31103,Ozone,2012-05-20,59,43,37,31,21,24,33,31,33,51,59,60,70,79,78,77,73,66,65,59,54,52,52,54
31103,Ozone,2012-05-21,54,50,44,37,38,45,48,46,54,57,58,60,57,59,60,61,66,59,54,45,37,32,34,33
31103,Ozone,2012-05-22,35,32,33,30,26,17,14,15,17,20,23,34,31,34,40,44,46,41,41,48,54,41,20,20
31103,Ozone,2012-05-23,24,15,17,21,23,21,16,18,22,27,31,31,33,34,36,37,35,36,36,36,36,36,35,35
31103,Ozone,2012-05-24,35,31,32,32,29,24,16,18,22,27,36,44,48,54,52,54,57,54,48,46,47,43,41,42
31103,Ozone,2012-05-25,46,46,51,50,47,42,36,26,36,45,52,56,57,68,71,69,69,66,58,50,49,45,42,32
31103,Ozone,2012-05-26,34,27,40,37,39,36,33,32,27,34,46,52,53,61,61,61,60,59,51,38,36,27,22,29
31103,Ozone,2012-05-27,28,29,26,25,26,30,30,28,30,34,41,43,42,42,45,51,55,46,50,45,41,39,40,47
31103,Ozone,2012-05-28,45,38,32,32,27,26,20,28,33,37,41,39,44,62,67,67,62,72,69,66,64,63,65,63
31103,Ozone,2012-05-29,51,36,31,29,29,28,26,29,32,45,45,53,51,51,55,54,50,49,49,48,50,41,41,45
31103,Ozone,2012-05-30,45,40,40,36,32,25,23,29,32,35,40,41,46,47,47,43,33,33,32,31,29,24,21,21
31103,Ozone,2012-05-31,20,17,20,18,13,14,13,15,18,24,9999,9999,9999,9999,37,39,41,43,45,44,41,36,29,32
31103,Ozone,2012-06-01,30,32,29,29,31,32,30,27,29,28,26,27,28,29,30,32,31,30,30,30,28,29,29,26
31103,Ozone,2012-06-02,26,21,25,28,30,27,27,28,28,30,33,34,36,37,37,35,42,43,34,44,37,32,36,39
31103,Ozone,2012-06-03,34,30,33,33,31,33,31,32,31,32,33,35,36,37,32,30,31,32,30,27,25,23,22,20
31103,Ozone,2012-06-04,18,13,14,12,13,10,9,9,9,14,19,21,22,22,23,25,22,21,22,19,24,19,21,22
31103,Ozone,2012-06-05,22,19,21,20,19,16,10,9,16,23,22,26,31,33,35,38,43,40,39,35,30,28,28,22
31103,Ozone,2012-06-06,9,5,9,15,8,10,11,16,20,21,25,35,39,39,35,39,39,40,31,29,30,21,10,15
31103,Ozone,2012-06-07,19,12,8,11,15,10,7,14,24,19,20,28,37,45,40,34,33,33,32,32,32,31,20,10
31103,Ozone,2012-06-08,13,14,24,23,22,19,14,21,26,31,37,41,46,48,50,53,57,58,57,55,51,41,47,45
31103,Ozone,2012-06-09,52,44,37,38,35,31,31,36,47,51,55,53,50,47,49,50,56,63,68,57,54,54,56,56
31103,Ozone,2012-06-10,61,53,54,45,45,29,31,33,37,38,51,67,72,75,84,88,90,87,86,85,78,64,68,69
31103,Ozone,2012-06-11,69,59,53,48,46,42,40,38,48,54,58,60,63,69,72,69,78,76,58,48,47,44,42,42
31103,Ozone,2012-06-12,43,39,37,33,30,27,21,15,15,20,23,32,40,44,47,43,39,40,37,32,26,24,25,36
31103,Ozone,2012-06-13,34,28,26,20,16,13,16,21,22,25,31,38,40,41,41,42,47,47,49,47,45,26,19,19
31103,Ozone,2012-06-14,18,16,17,16,20,19,20,24,26,29,31,31,32,31,33,38,42,42,40,36,33,34,35,35
31103,Ozone,2012-06-15,35,32,31,32,34,33,32,34,37,38,39,43,47,53,47,45,49,52,54,55,56,50,44,43
31103,Ozone,2012-06-16,43,31,35,33,34,33,23,20,31,40,48,55,61,63,65,62,65,69,72,69,67,65,64,57
31103,Ozone,2012-06-17,47,42,43,45,45,46,47,46,44,46,50,52,55,53,60,55,54,56,57,56,53,43,43,43
31103,Ozone,2012-06-18,47,40,43,37,39,35,30,27,30,33,42,44,47,55,53,54,51,55,53,52,45,41,43,45
31103,Ozone,2012-06-19,39,40,44,41,37,34,32,30,36,44,52,61,66,72,76,75,72,63,63,69,65,57,53,51
31103,Ozone,2012-06-20,54,54,51,50,42,33,27,28,41,42,59,70,75,68,69,68,64,64,68,62,55,55,55,53
31103,Ozone,2012-06-21,53,49,52,52,54,48,33,24,31,48,63,70,68,66,64,65,68,58,46,39,34,37,25,32
31103,Ozone,2012-06-22,37,36,35,30,31,29,27,27,29,35,40,42,43,46,40,40,39,39,39,36,27,24,21,21
31103,Ozone,2012-06-23,19,15,18,18,15,15,18,21,25,28,30,39,45,47,51,53,57,58,54,50,40,36,32,28
31103,Ozone,2012-06-24,32,31,32,20,6,15,16,24,31,32,34,37,34,38,45,46,44,40,38,35,32,29,25,33
31103,Ozone,2012-06-25,38,35,36,33,25,20,19,21,24,28,28,27,27,26,26,27,28,29,29,28,26,24,23,22
31103,Ozone,2012-06-26,23,19,22,20,20,16,16,21,28,32,36,36,36,37,37,38,38,36,34,31,24,17,24,24
31103,Ozone,2012-06-27,25,26,28,25,23,17,11,9,10,12,17,22,29,32,32,33,36,33,21,22,17,8,5,8
31103,Ozone,2012-06-28,11,11,2,2,2,2,4,8,7,14,27,42,45,53,63,63,73,72,63,49,50,48,24,13
31103,Ozone,2012-06-29,40,60,55,48,43,35,26,22,27,39,45,46,48,50,48,46,44,44,42,42,38,31,20,22
31103,Ozone,2012-06-30,24,16,19,17,21,25,25,33,41,50,58,64,66,55,57,57,56,51,43,37,30,27,27,27
31103,Ozone,2012-07-01,27,26,25,24,26,28,28,31,31,33,36,36,41,45,40,37,35,34,33,31,30,28,26,20
31103,Ozone,2012-07-02,20,19,20,16,16,16,18,19,21,30,36,37,41,44,43,41,41,38,38,34,28,27,22,17
31103,Ozone,2012-07-03,16,8,6,2,2,3,6,12,15,30,30,40,45,44,50,48,49,56,52,45,42,44,45,49
31103,Ozone,2012-07-04,47,41,37,32,25,20,16,17,22,30,37,51,68,73,75,62,57,60,53,43,37,31,32,43
31103,Ozone,2012-07-05,42,36,32,27,24,19,18,18,20,20,23,21,18,18,12,8,23,50,35,22,11,2,2,2
31103,Ozone,2012-07-06,5,1,8,13,12,8,7,9,12,32,52,84,84,68,59,58,57,70,69,59,32,28,21,19
31103,Ozone,2012-07-07,10,4,4,18,26,25,26,26,27,31,36,36,41,43,38,38,39,39,37,34,32,32,29,22
31103,Ozone,2012-07-08,22,17,19,21,22,20,19,19,24,27,26,27,27,37,36,36,37,37,30,25,23,23,26,26
